순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국스크린수,전국매출액,전국관객수,서울매출액,서울관객수,장르,등급,영화구분
206 ,내 엄마의 친구(무삭제),이진명,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-07-03,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
207 ,내 엄마의 친구: 완숙한 육체를 탐하다,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-03-06,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
208 ,내 엄마의 친구: 완숙한 육체를 탐하다-무삭제판,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-04-17,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
209 ,내 여자가 된 형수,최석원,(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2018-02-01,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,기타,청소년관람불가,상업영화
210 ,내 이웃의 아내 3,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-01-31,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
211 ,내 이웃의 아내 3 (무삭제),강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-03-26,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
212 ,내 친구 엄마 무삭제,이리단,(주)영화사가을,,(주)영화사가을,2018-06-19,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
213 ,내 친구엄마들 2018,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-09-18,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
214 ,내 친구의 아내 3 (무삭제),강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-03-06,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
215 ,내 친구의 엄마들,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-08-10,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
216 ,내 학생의 엄마 2 무삭제,곽영근,(주)영화사가을,,(주)영화사가을,2018-02-23,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
217 ,내딸 : 아찔한 동거,최석원,(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2018-03-08,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,,청소년관람불가,상업영화
218 ,내아들의여자들,남현수,스마일컨텐츠,,스마일컨텐츠,2018-08-31,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
219 ,내친구아내,최은정,스마일컨텐츠,,스마일컨텐츠,2018-04-13,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
220 ,내친구아내-무삭제,최은정,스마일컨텐츠,,스마일컨텐츠,2018-05-22,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
221 ,내형의여자친구,남현수,스마일컨텐츠,,스마일컨텐츠,2018-04-20,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
222 ,내형의여자친구-무삭제,남현수,스마일컨텐츠,,스마일컨텐츠,2018-05-25,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
223 ,너무 밝히는 사촌누나들,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-08-10,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
224 ,너무 밝히는 사촌누나들(감독판),강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-09-27,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
225 ,누나친구 : 이혼하고 온 날,이상민,(주)영화사가을,,(주)영화사가을,2018-02-20,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
226 ,누나친구 : 이혼하고 온 날 무삭제,이상민,(주)영화사가을,,(주)영화사가을,2018-03-28,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
227 ,동생의착한아내,최은정,스마일컨텐츠,,스마일컨텐츠,2018-09-14,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
228 ,동창생의 목적-무삭제판,이민,(주)케이알씨지,,(주)케이알씨지,2018-05-01,개봉영화,장편,한국,1 ,1000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
229 ,동창회의 목적 3(무삭제),이도시,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-04-27,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
230 ,두 부부의 정사,이상민,(주)영화사가을,,(주)영화사가을,2018-03-30,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
231 ,두 부부의 정사 무삭제,이상민,(주)영화사가을,,(주)영화사가을,2018-07-23,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
232 ,딸의 애인-무삭제판,계장혁,골드피쉬프로덕션,,(주)컨텐츠 빌리지,2018-08-15,개봉영화,장편,한국,1 ,1000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
233 ,딸의 친구 2 - 무삭제판,계장혁,(주)컨텐츠 빌리지,,(주)컨텐츠 빌리지,2018-01-24,개봉영화,장편,한국,1 ,3000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
234 ,리턴,최석원,(주)레드언더미디어,,(주)레드언더미디어,2018-06-22,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,,청소년관람불가,상업영화
235 ,맛있는 섹스 그리고 그 여자-감독판,이전,(주)케이알씨지,,(주)케이알씨지,2018-06-12,개봉영화,장편,한국,1 ,1000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
236 ,맛있는 섹스 그리고 여친 무삭제 특별판,이민,(주)케이알씨지,,(주)케이알씨지,2018-05-03,개봉영화,장편,한국,1 ,1000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
237 ,맛있는 유혹,이민,(주)케이알씨지,,(주)케이알씨지,2018-04-03,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,멜로/로맨스,청소년관람불가,상업영화
238 ,맛있는 유혹 무삭제판,이민,(주)케이알씨지,,(주)케이알씨지,2018-05-15,개봉영화,장편,한국,1 ,2000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
239 ,미용실 : 특별한 서비스 2 무삭제,조태호,(주)영화사가을,,(주)영화사가을,2018-06-04,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
240 ,밀애 : 사장님의 젊은 아내,이상민,(주)영화사가을,,(주)영화사가을,2018-02-06,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
241 ,발칙한 동거 무삭제,오재학,(주)로드하우스,,(주)로드하우스,2018-03-01,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,,청소년관람불가,상업영화
242 ,부부 교환의 날 2017 (무삭제),이진,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-02-13,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
243 ,부부교환섹스 2 (무삭제),강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-01-25,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
244 ,부부교환섹스 3,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-03-26,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
245 ,부부교환섹스 3-무삭제판,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-04-27,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
246 ,부부교환의 날 2017: 친구의 아내를 탐하다 -무삭제판,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-01-31,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
247 ,부부교환의 날: 젊은 사모님을 탐하다,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-03-26,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
248 ,부부교환의 날: 젊은 사모님을 탐하다-무삭제판,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-04-27,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
249 ,비뇨기과 여의사들 무삭제,조태호,(주)영화사가을,,(주)영화사가을,2018-05-24,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
250 ,비밀정사 : 작은엄마,이상민,(주)영화사가을,,(주)영화사가을,2018-01-18,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
251 ,비밀정사:작은엄마 무삭제,이상민,(주)영화사가을,,(주)영화사가을,2018-07-24,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
252 ,사촌 여동생들: 금단의 사랑,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-05-30,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
253 ,사촌 여동생들: 금단의 사랑(무삭제),강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-07-03,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
254 ,사촌누나들,이상민,(주)영화사가을,,(주)영화사가을,2018-03-30,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
255 ,사촌누나들 무삭제,이상민,(주)영화사가을,,(주)영화사가을,2018-07-23,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
256 ,사촌여동생 무삭제판,양호열,케이제이픽처스,,케이제이픽처스,2018-01-17,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,,청소년관람불가,상업영화
257 ,사춘기 여동생,이상수,선셋 시네마,,선셋 시네마,2018-09-12,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,멜로/로맨스,청소년관람불가,상업영화
258 ,새아빠,이상민,(주)영화사가을,,(주)영화사가을,2018-06-15,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
259 ,새엄마 새누나 무삭제판,김민식,(주)영화사가을,,(주)영화사가을,2018-01-11,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
260 ,새엄마 2 무삭제,이리단,(주)영화사 사계절,,(주)영화사 사계절,2018-06-19,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
261 ,새엄마 2: 그녀의 남자가 되다 (무삭제),강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-01-31,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
262 ,새엄마는 전여친,이상민,(주)영화사가을,,(주)영화사가을,2018-01-18,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
263 ,새엄마는 전여친 무삭제,이상민,(주)영화사가을,,(주)영화사가을,2018-07-24,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
264 ,새엄마의 섹스 교육 무삭제판,최강호,(주)영화사가을,,(주)영화사가을,2018-01-09,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
265 ,성판17: 남자들의 17가지 성적 판타지 무삭제판 ,송은주,주식회사 레드아이스,,주식회사 레드아이스,2018-03-12,개봉영화,장편,한국,1 ,1000,1 ,0,0 ,기타,청소년관람불가,상업영화
266 ,섹남섹녀,최석원,(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2018-04-26,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,,청소년관람불가,상업영화
267 ,섹스 인 더 게임 무삭제판,신성진,선셋 시네마,,선셋 시네마,2018-09-07,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,,청소년관람불가,상업영화
268 ,섹스의 목적-무삭제판,이민,(주)케이알씨지,,(주)케이알씨지,2018-06-19,개봉영화,장편,한국,1 ,1000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
269 ,소문의 여자,지슬,골든타이드픽처스(주),,골든타이드픽처스(주),2018-01-02,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,,청소년관람불가,상업영화
270 ,수상한 종업원(무삭제판),한동호,(주)가온콘텐츠,,(주)가온콘텐츠,2018-05-29,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
271 ,수상한 진료실: 엄마친구의 특별한 치료,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-03-06,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
272 ,수상한 진료실: 엄마친구의 특별한 치료-무삭제판,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-04-17,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
273 ,스와핑 : 친구부부의 쾌락 2,정완경,(주)영화사가을,,(주)영화사가을,2018-08-16,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
274 ,스와핑 : 형의 여자 무삭제판,최강호,(주)영화사가을,,(주)영화사가을,2018-01-09,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
275 ,시아의 몽정기-무삭제,김다니엘,스마일컨텐츠,,스마일컨텐츠,2018-09-07,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
276 ,신입사원(무삭제판),한동호,(주)가온콘텐츠,,(주)가온콘텐츠,2018-05-15,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
277 ,아내들의 속사정,최석원,(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2018-01-11,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,,청소년관람불가,상업영화
278 ,아내를 바꾸다 무삭제,김무원,(주)영화사 사계절,,(주)영화사 사계절,2018-01-16,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
279 ,아내의 애인 2 무삭제,조태호,(주)영화사가을,,(주)영화사가을,2018-09-21,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
280 ,야한 정사의 맛-감독판,이민,(주)케이알씨지,,(주)케이알씨지,2018-04-24,개봉영화,장편,한국,1 ,1000,1 ,0,0 ,기타,청소년관람불가,상업영화
281 ,야한 짓 : 무삭제판,이민,(주)케이알씨지,,(주)케이알씨지,2018-08-30,개봉영화,장편,한국,1 ,1000,1 ,1000,1 ,멜로/로맨스,청소년관람불가,상업영화
282 ,어린 누나-무삭제판,김태수,너바나 필름,,(주)컨텐츠 빌리지,2018-06-26,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,멜로/로맨스,청소년관람불가,상업영화
283 ,어린 아내-무삭제판,화니,(주)케이알씨지,,(주)케이알씨지,2018-05-29,개봉영화,장편,한국,1 ,1000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
284 ,어린 엄마 - 무삭제판,계장혁,골드피쉬프로덕션,,(주)에이블엔터테인먼트,2018-03-26,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,멜로/로맨스,청소년관람불가,상업영화
285 ,어린 여자: 맛있는 관음-무삭제판,이민환,(주)케이알씨지,,(주)케이알씨지,2018-03-27,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,멜로/로맨스,청소년관람불가,상업영화
286 ,어린 이모 - 무삭제판,계장혁,너바나 필름,,(주)컨텐츠 빌리지,2018-08-15,개봉영화,장편,한국,1 ,1000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
287 ,어린 처제 - 무삭제판,최우성,(주)컨텐츠 빌리지,,(주)컨텐츠 빌리지,2018-07-24,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,멜로/로맨스,청소년관람불가,상업영화
288 ,어린 형수 3 - 무삭제판 ,최우성,핵존슨,,(주)컨텐츠 빌리지,2018-01-24,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,멜로/로맨스,청소년관람불가,상업영화
289 ,어린장모-무삭제,최은정,스마일컨텐츠,,스마일컨텐츠,2018-06-15,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
290 ,엄마 애인 -무삭제판,정진호,모히또필름,,(주)에이블엔터테인먼트,2018-04-18,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,멜로/로맨스,청소년관람불가,상업영화
291 ,엄마 친구 : 그녀의 섹스고백 무삭제판,최강호,(주)영화사가을,,(주)영화사가을,2018-01-09,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
292 ,엄마 친구들과의 정사,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-08-10,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
293 ,엄마의 정사,이상민,(주)영화사가을,,(주)영화사가을,2018-08-14,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
294 ,엄마친구 4 무삭제,채준우,(주)영화사 사계절,,(주)영화사 사계절,2018-06-04,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
295 ,엄마친구들 무삭제,이리단,(주)영화사가을,,(주)영화사가을,2018-04-26,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
296 ,엄마친구의 섹스 무삭제판,최강호,(주)영화사가을,,(주)영화사가을,2018-01-11,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
297 ,여배우와 동거-무삭제,이슬,(주)케이피에이기획,,(주)케이피에이기획,2018-08-31,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
298 ,여자 보험왕 : 그녀의 영업비밀 무삭제,곽영근,(주)영화사 사계절,,(주)영화사 사계절,2018-01-16,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
299 ,여자들 : 섹스의 만족도 무삭제,김부곤,(주)영화사가을,,(주)영화사가을,2018-03-20,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
300 ,여직원들 : 2대2 섹스,이상민,(주)영화사가을,,(주)영화사가을,2018-06-12,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
301 ,여직원들 : 2대2 섹스 무삭제,이상민,(주)영화사가을,,(주)영화사가을,2018-07-23,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
302 ,여직원의 맛,최우성,㈜리필름,,㈜리필름,2018-05-28,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,멜로/로맨스,청소년관람불가,상업영화
303 ,연변 아가씨의 맛섹사-무삭제판,이민,(주)케이알씨지,,(주)케이알씨지,2018-03-14,개봉영화,장편,한국,1 ,1000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
304 ,연상녀들 : 내가 가르쳐 줄게 무삭제,이리단,(주)영화사가을,,(주)영화사가을,2018-02-23,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
305 ,연애사슬,최석원,(주)씨맥스커뮤니케이션즈,,(주)씨맥스커뮤니케이션즈,2018-02-28,개봉영화,장편,한국,1 ,2000,1 ,2000,1 ,,청소년관람불가,상업영화
306 ,예쁜 처제들 2018,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-09-18,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
307 ,완벽한 섹스의 맛-무삭제판,이민,(주)케이알씨지,,(주)케이알씨지,2018-05-08,개봉영화,장편,한국,1 ,1000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
308 ,왕을 참하라 무삭제판,김재수,(주)영화사 조은,,(주)영화사 조은,2018-03-21,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,드라마,청소년관람불가,상업영화
309 ,외출 2 무삭제,곽영근,(주)영화사가을,,(주)영화사가을,2018-03-20,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
310 ,이모의 유혹-무삭제,김경택,스마일컨텐츠,,스마일컨텐츠,2018-04-06,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
311 ,일본 엄마 2 무삭제,김무원,(주)영화사 사계절,,(주)영화사 사계절,2018-03-20,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
312 ,작은 엄마 무삭제,이리단,(주)영화사 사계절,,(주)영화사 사계절,2018-03-20,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
313 ,작은 엄마 2: 삼촌의 여자들 (무삭제),강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-03-09,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
314 ,작은 엄마들,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-07-11,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
315 ,작은 엄마들(무삭제),강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-09-12,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
316 ,장모님의 개인교습,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-09-12,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
317 ,장모학개론-무삭제,김다니엘,스마일컨텐츠,,스마일컨텐츠,2018-07-06,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
318 ,젊은 아내: 남편 교환의 날 (무삭제),이진,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-01-22,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
319 ,젊은 처제들,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-09-27,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
320 ,젊은 처형: 그녀를 탐하다,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-07-11,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
321 ,젊은 처형: 그녀를 탐하다(무삭제),강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-09-12,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
322 ,젊은 형수 2,이상민,(주)영화사가을,,(주)영화사가을,2018-08-14,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
323 ,젊은 형수: 형의 여자를 탐하다,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-01-31,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
324 ,젊은 형수: 형의 여자를 탐하다(무삭제),강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-04-17,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
325 ,젊은 형수님: 내 여자가 되던 날,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-07-03,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
326 ,젊은 형수님: 내 여자가 되던 날 -무삭제판,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-08-10,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
327 ,젊은 형수님: 형의 여자를 탐하다 -무삭제판,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-03-09,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
328 ,젊은장모-무삭제,김경훈,스마일컨텐츠,,스마일컨텐츠,2018-03-09,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
329 ,젊은형수님들,강정훈,(주)소나무픽쳐스,,(주)소나무픽쳐스,2018-08-30,개봉영화,장편,한국,1 ,5000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
330 ,정사 : 시아버지와 도련님,이상민,(주)영화사가을,,(주)영화사가을,2018-01-18,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
331 ,정사 : 시아버지와 도련님 무삭제,이상민,(주)영화사가을,,(주)영화사가을,2018-07-24,개봉영화,장편,한국,1 ,6000,1 ,0,0 ,멜로/로맨스,청소년관람불가,상업영화
332 ,정사 : 은밀한 밀애-무삭제판,이재상,(주)케이알씨지,,(주)케이알씨지,2018-07-25,개봉영화,장편,한국,1 ,1000,1 ,1000,1 ,멜로/로맨스,청소년관람불가,상업영화
